iter	Passed	Remaining
0	153	15242
1	159	7814
2	165	5346
3	170	4095
4	174	3308
5	178	2790
6	183	2439
7	187	2155
8	191	1932
9	194	1750
10	198	1609
11	202	1488
12	206	1383
13	210	1293
14	215	1218
15	218	1149
16	222	1086
17	226	1032
18	230	984
19	236	947
20	240	904
21	244	866
22	249	834
23	253	801
24	257	772
25	261	743
26	265	717
27	269	692
28	272	666
29	275	642
30	278	620
31	282	600
32	286	582
33	290	563
34	293	545
35	297	529
36	301	512
37	304	496
38	307	481
39	311	467
40	314	452
41	318	439
42	321	425
43	324	412
44	326	399
45	330	387
46	332	375
47	335	363
48	338	352
49	341	341
50	345	332
51	349	322
52	353	313
53	357	304
54	361	295
55	364	286
56	367	277
57	370	268
58	374	260
59	379	252
60	382	244
61	386	236
62	389	228
63	393	221
64	397	213
65	401	206
66	404	199
67	408	192
68	412	185
69	416	178
70	419	171
71	423	164
72	427	157
73	430	151
74	434	144
75	437	138
76	441	131
77	445	125
78	449	119
79	453	113
80	457	107
81	460	101
82	464	95
83	467	89
84	471	83
85	475	77
86	478	71
87	482	65
88	485	60
89	490	54
90	494	48
91	497	43
92	501	37
93	504	32
94	508	26
95	511	21
96	514	15
97	518	10
98	521	5
99	525	0
